name,website,chain_id,seeds,persistent_peers,rpcs,apis,block_height,block_speed,usd_price,usd_market_cap,usd_fully_diluted_valuation,usd_24h_volume,ibc_30d_volume,ibc_30d_transfers,30d_txs,30d_active_addresses
8ball,https://8ball.info/,eightball-1,0,4,3,4,5497777,5.458510252389396,0,0,0,0,0,0,0,0
Acrechain,https://arable.finance/,acre_9052-1,5,7,6,5,6763665,5.605703680892817,0.00020439,38550,204394,0.0207675,0,0,0,0
Agoric,https://agoric.com/,agoric-3,5,4,13,12,13692476,6.041340634107569,0.144354,94169015,153986270,262501,5918001,21970,131107,11650
AIOZ Network,https://aioz.network/,aioz_168-1,4,4,1,1,11328777,5.89737399697902,0.120386,128843942,128843179,1576332,0,0,0,0
Akash,https://akash.network/,akashnet-2,11,6,15,15,14890429,5.96625507258957,2.79,634371935,634364931,2478861,47427659,52876,393239,31204
Andromeda,,andromeda-1,2,8,10,10,1095181,5.863856010424585,0.441222,0.0,441222208,55747,0,0,0,0
Archway,https://archway.io/,archway-1,13,4,28,26,3164869,5.949864575710582,0.161459,0.0,0,0,5356238,23316,108403,21010
Arkhadian,https://arkhadian.com/,arkh,0,0,2,2,0,0,0,0,0,0,0,0,0,0
AssetMantle,https://assetmantle.one/,mantle-1,4,12,10,9,9702455,5.755556440823698,0.00729812,8752062,9075371,114342,750156,7988,128314,8124
Aura Network,https://aura.network/,xstaxy-1,6,10,16,16,4882179,5.813257511134124,0.03742968,10679343,37443506,107250,183,434,106153,1107
Axelar,https://axelar.network/,axelar-dojo-1,7,4,20,18,11256774,5.993824789780078,0.903111,504474136,1023054465,2950259,325211675,233496,13271497,19558
Band Protocol,https://bandprotocol.com/,laozi-mainnet,6,7,10,10,25732842,2.7511733333333335,1.83,253859598,261910516,9638384,268753,207222,3542131,2368
BeeZee,,beezee-1,2,1,3,3,10250031,5.786705892568119,0.00043712,0.0,1324487,246.6,0,0,0,0
BitCanna,https://www.bitcanna.io/,bitcanna-1,12,18,26,25,12461300,5.955483372961358,0.01365815,0.0,5935116,3189.95,329915,4049,28457,857
BitSong,https://bitsong.io/,bitsong-2b,4,4,12,11,15370303,5.723957948336191,0.01585354,1774720,1918265,8139.94,170413,1847,17836,1614
Bluzelle,https://bluzelle.com/,bluzelle-9,1,3,4,4,4417317,24.87330632447396,0.304258,129955051,152349095,11254335,64349,120,700,81
bostrom,,bostrom,2,0,4,4,12046767,5.901814395664363,1.0804e-08,6279374,12794152,1180.98,148977,4880,168966,7688
Canto,https://canto.io/,canto_7700-1,4,2,6,5,8133372,5.7278601154554805,0.175686,100091004,176301534,3106472,2174039,1482,438155,5959
Carbon,https://www.carbon.network/,carbon-1,6,1,4,4,53323801,2.1138765727980826,0.00814297,14005377,17581349,73052,3920842,60483,22614043,19442
Celestia,https://celestia.org/,celestia,10,4,16,15,722594,11.703401509492284,17.67,2875004870,18090323396,104473013,361564977,599746,4091070,427587
Cerberus,https://cerberus.zone/,cerberus-chain-1,1,1,0,0,0,0,1.826e-05,0.0,0,0,0,0,0,0
Chain4Energy,https://c4e.io/,perun-1,20,11,31,26,7056431,6.14492597531613,0,0,0,0,0,0,0,0
Cheqd,https://www.cheqd.io/,cheqd-mainnet-1,8,4,7,7,11878320,5.933272,0.063891,45112928,72750175,281551,1694141,1455,45123,2819
Chihuahua,https://chihuahua.wtf/,chihuahua-1,7,2,11,10,11323464,5.962117248384645,0.00017282,17284593,17944448,168689,6061438,32261,118002,10959
Chimba,https://chimba.ooo/,chimba,0,0,1,1,6124802,5.035384823115069,0,0,0,0,0,0,0,0
Chronic Chain,,morocco-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Cifer,https://cifer.ai/,cifer,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Comdex,https://comdex.one/,comdex-1,9,4,12,12,11656342,5.854595807323096,0.050492,7638023,9072059,26828,1364863,59365,145448,6255
Commercio.network,,commercio-3,3,6,1,1,12312458,9.00770024201044,0,0,0,0,0,0,0,0
Composable,https://www.composable.finance/,centauri-1,5,5,13,13,3683460,5.760763771603283,0.00972714,44266668,97516601,2033846,15846125,21359,243720,4923
ConsciousDAO,https://www.consciousdao.com/,cvn_2032-1,0,0,1,1,5191527,4.721755221875033,0,0,0,0,0,0,0,0
Coreum,https://www.coreum.com,coreum-mainnet-1,4,1,9,6,15598760,1.835878546492064,0.16141,0.0,81068225,556249,7737236,15131,133479,6397
Cosmos Hub,https://cosmos.network/,cosmoshub-4,10,7,35,29,19039903,6.109759567355382,9.08,3504613229,3504613229,87908531,355590271,1567386,7348338,497682
COSS,https://coss.ink/,coss-1,4,2,2,2,139030,10.501276712052881,0,0,0,0,0,0,0,0
